molecule_id,affinity_pred_value,affinity_probability_binary
10167806,0.7707980871200562,0.32169684767723083
10169367,0.5206144452095032,0.43745705485343933
10191345,-0.281373530626297,0.35914522409439087
10975022,-0.2189767062664032,0.3242068886756897
11664897,0.6632637977600098,0.43263715505599976
122850,1.3136787414550781,0.47065219283103943
12304738,0.8039852976799011,0.24903735518455505
123245871,0.9804285764694214,0.5662562847137451
13915237,1.2749464511871338,0.22067475318908691
14299117,0.9020754098892212,0.5170748233795166
163154579,1.3626086711883545,0.4360311031341553
164612512,0.6778679490089417,0.3229028582572937
21577860,0.7186248302459717,0.5253748893737793
439246,1.440138339996338,0.49321338534355164
439533,1.4553048610687256,0.4231356978416443
44575467,1.111571192741394,0.4880678653717041
46841212,-0.058398567140102386,0.5662748217582703
5271805,0.5044506788253784,0.4470113515853882
5280343,0.8675020933151245,0.558963418006897
5280442,1.458085298538208,0.43248385190963745
5280443,0.8908458352088928,0.5151537656784058
5280445,0.8384210467338562,0.5186988115310669
5280704,0.9540860652923584,0.44338375329971313
5280805,0.9955629110336304,0.4499964714050293
5280863,1.2431700229644775,0.569481372833252
5281377,0.9710750579833984,0.3129268288612366
5281600,0.46910741925239563,0.575791597366333
5281612,1.1388791799545288,0.4951298236846924
5281614,0.543634295463562,0.4727555513381958
5281617,1.2143497467041016,0.4515020251274109
5281654,0.59267258644104,0.4545521140098572
5281665,0.8962725400924683,0.6416599750518799
5281696,0.689909815788269,0.3618859052658081
5281697,0.9898999929428101,0.5618175268173218
5281699,0.7907530069351196,0.4931660592556
5281702,0.4741324186325073,0.4282631278038025
5281811,0.6650395393371582,0.41725748777389526
5282160,1.1811765432357788,0.46361351013183594
5315459,0.9854455590248108,0.504996120929718
5316673,1.1810297966003418,0.5797051191329956
5318569,0.49512362480163574,0.547426700592041
5318645,1.1550066471099854,0.5521240830421448
5318767,1.1286005973815918,0.4678460955619812
5378597,1.0476516485214233,0.5041464567184448
5459192,1.4151661396026611,0.4819358289241791
5462193,0.2505798637866974,0.3963877558708191
5480982,0.7056114077568054,0.28544342517852783
5481663,0.6280157566070557,0.5786964893341064
5489389,1.1153801679611206,0.3463168740272522
59650405,0.4051479697227478,0.24533140659332275
70696487,1.0180747509002686,0.5916411280632019
74978069,1.1400542259216309,0.41201239824295044
74978457,0.9235744476318359,0.5340486168861389
91602664,-0.0016859974712133408,0.5348742604255676
