molecule_id,affinity_pred_value,affinity_probability_binary
10167806,0.563667893409729,0.30823594331741333
10169367,0.30883651971817017,0.5425887107849121
10191345,-0.6574926376342773,0.49363505840301514
10975022,-0.8748649954795837,0.14990541338920593
11664897,-0.4638116955757141,0.48703068494796753
122850,1.0253679752349854,0.4377071261405945
12304738,0.9151718020439148,0.36167746782302856
123245871,0.4917042553424835,0.6024453639984131
13915237,-0.03899949789047241,0.3374890685081482
14299117,0.40443408489227295,0.44889864325523376
163154579,0.026019930839538574,0.2933821678161621
164612512,0.07172656059265137,0.5628236532211304
21577860,0.13944295048713684,0.5674818754196167
439246,1.0445590019226074,0.4821712374687195
439533,1.580244779586792,0.46292468905448914
44575467,0.28694769740104675,0.2927553057670593
46841212,-0.5115811824798584,0.520714521408081
5271805,-0.3192640542984009,0.5671006441116333
5280343,0.265001118183136,0.6332693099975586
5280442,0.8884537220001221,0.5923953056335449
5280443,0.7253431677818298,0.6406432390213013
5280445,0.24693718552589417,0.6622246503829956
5280704,0.6483805775642395,0.4553872048854828
5280805,0.5295983552932739,0.36111748218536377
5280863,0.8379697799682617,0.6480188369750977
5281377,1.1277873516082764,0.4602838158607483
5281600,-0.09073345363140106,0.655968427658081
5281612,0.6378045082092285,0.5943403840065002
5281614,0.5046210289001465,0.656949520111084
5281617,1.0730013847351074,0.5432602167129517
5281654,0.09840232133865356,0.5626218318939209
5281665,0.40983784198760986,0.6853150129318237
5281696,0.27157166600227356,0.4613179862499237
5281697,0.13930904865264893,0.6933830976486206
5281699,0.1393163651227951,0.5346035957336426
5281702,0.18884582817554474,0.5622152090072632
5281811,0.4847140610218048,0.59685879945755
5282160,0.1439119279384613,0.6031339168548584
5315459,-0.11687569320201874,0.6018418073654175
5316673,1.1568197011947632,0.651250422000885
5318569,-0.2508397698402405,0.4851842224597931
5318645,0.7860161066055298,0.6165971755981445
5318767,0.5642884969711304,0.45965686440467834
5378597,0.6172798871994019,0.49427881836891174
5459192,0.5592364072799683,0.34502270817756653
5462193,0.9065398573875427,0.4926789402961731
5480982,0.41996175050735474,0.555996298789978
5481663,0.3853050768375397,0.28423789143562317
5489389,0.619242787361145,0.5056592226028442
59650405,0.16675612330436707,0.6026467084884644
70696487,-0.3064611554145813,0.44243961572647095
74978069,0.8351914286613464,0.35352975130081177
74978457,0.4199982285499573,0.5245618224143982
91602664,-0.07739020884037018,0.5171940326690674
