molecule_id,affinity_pred_value,affinity_probability_binary
10167806,0.106086865067482,0.43710845708847046
10169367,-0.2009754478931427,0.4495992660522461
10191345,-0.19482576847076416,0.6095026731491089
10975022,-0.3173663318157196,0.5469692945480347
11664897,-0.2448442280292511,0.44941186904907227
122850,1.015418529510498,0.5450700521469116
12304738,0.8624854683876038,0.4690711200237274
123245871,0.29583317041397095,0.5653075575828552
13915237,-0.034938693046569824,0.49843400716781616
14299117,0.010866552591323853,0.5957478284835815
163154579,0.05328242480754852,0.5812395811080933
164612512,0.8068821430206299,0.5490893125534058
21577860,0.12671661376953125,0.5528990030288696
439246,1.0738463401794434,0.6357381939888
439533,1.0725338459014893,0.48847323656082153
44575467,0.05014201998710632,0.39072662591934204
46841212,0.7657268643379211,0.6384420394897461
5271805,0.488261878490448,0.6658603549003601
5280343,1.1513595581054688,0.662945568561554
5280442,1.0368168354034424,0.7260925769805908
5280443,1.1804234981536865,0.7001785635948181
5280445,0.9998466372489929,0.6770727634429932
5280704,0.3430168032646179,0.5645744800567627
5280805,0.12929895520210266,0.49203014373779297
5280863,1.1151303052902222,0.6549685001373291
5281377,0.5243095755577087,0.6053726673126221
5281600,0.2672192454338074,0.6974140405654907
5281612,1.1396450996398926,0.6036163568496704
5281614,1.0678818225860596,0.6530953645706177
5281617,1.2051329612731934,0.6891371011734009
5281654,0.8604658842086792,0.5943501591682434
5281665,1.0887031555175781,0.7252098917961121
5281696,0.47470980882644653,0.6640392541885376
5281697,1.06113862991333,0.6931325197219849
5281699,1.0187764167785645,0.5919138789176941
5281702,0.8943115472793579,0.634065568447113
5281811,1.1571526527404785,0.5778350830078125
5282160,0.24542206525802612,0.5073825120925903
5315459,0.6154009103775024,0.6863530874252319
5316673,0.4250630736351013,0.6430810689926147
5318569,0.43326303362846375,0.675579845905304
5318645,0.6397087574005127,0.5414854288101196
5318767,0.04642227292060852,0.42606109380722046
5378597,0.3170351982116699,0.5709493160247803
5459192,0.20421496033668518,0.48136693239212036
5462193,0.460252583026886,0.5710272192955017
5480982,0.5509860515594482,0.45062991976737976
5481663,-0.049278005957603455,0.5661259889602661
5489389,-0.198865607380867,0.6105672121047974
59650405,0.8185584545135498,0.635683536529541
70696487,-0.046466827392578125,0.572408139705658
74978069,0.3611561059951782,0.38424691557884216
74978457,0.08461368083953857,0.5125824213027954
91602664,0.5864897966384888,0.6399340629577637
