molecule_id,affinity_pred_value,affinity_probability_binary
10167806,0.753365159034729,0.13720867037773132
10169367,0.7510273456573486,0.13238707184791565
10191345,-0.17823609709739685,0.22742563486099243
10975022,0.18421778082847595,0.23851323127746582
11664897,0.6452412605285645,0.21012860536575317
122850,1.3937149047851562,0.23133377730846405
12304738,0.20123076438903809,0.2735143005847931
123245871,0.8752508163452148,0.27430158853530884
13915237,0.8012138605117798,0.15447086095809937
14299117,0.6565496325492859,0.2714448571205139
163154579,1.1983195543289185,0.1773167848587036
164612512,0.060677215456962585,0.14293919503688812
21577860,0.415093332529068,0.22502124309539795
439246,1.4433813095092773,0.22901639342308044
439533,1.5119261741638184,0.21741722524166107
44575467,0.5308361649513245,0.12654563784599304
46841212,0.14898115396499634,0.1754073053598404
5271805,-0.29403725266456604,0.2232828587293625
5280343,0.23863627016544342,0.40929508209228516
5280442,1.1092839241027832,0.296777606010437
5280443,0.7065771818161011,0.3982061445713043
5280445,0.39419025182724,0.4595692455768585
5280704,0.6238088011741638,0.15127186477184296
5280805,0.9211294651031494,0.18388918042182922
5280863,0.941512942314148,0.45836538076400757
5281377,-0.06892554461956024,0.295163631439209
5281600,-0.10985270142555237,0.43167153000831604
5281612,0.9694992303848267,0.27373456954956055
5281614,0.19530737400054932,0.441320538520813
5281617,1.7508955001831055,0.21436725556850433
5281654,0.5286080241203308,0.29955199360847473
5281665,0.45937877893447876,0.47466933727264404
5281696,0.3353770971298218,0.1995737999677658
5281697,0.8208391070365906,0.3930818438529968
5281699,0.30531761050224304,0.33886149525642395
5281702,0.7545934915542603,0.3240355849266052
5281811,0.34941697120666504,0.30197593569755554
5282160,0.10727601498365402,0.22090831398963928
5315459,-0.2768905758857727,0.43424850702285767
5316673,0.3303302526473999,0.31339505314826965
5318569,-0.4828873574733734,0.3069740831851959
5318645,0.798510730266571,0.20855361223220825
5318767,0.32313597202301025,0.1804937720298767
5378597,0.7031676769256592,0.2615319490432739
5459192,0.9744189977645874,0.23221483826637268
5462193,0.5918669700622559,0.13039183616638184
5480982,0.4343741834163666,0.18468627333641052
5481663,0.43180131912231445,0.16269069910049438
5489389,0.9009268283843994,0.25707265734672546
59650405,0.5372215509414673,0.18399617075920105
70696487,0.7855059504508972,0.18943968415260315
74978069,0.660393238067627,0.17303761839866638
74978457,0.9665168523788452,0.16240376234054565
91602664,-0.2227707952260971,0.197593092918396
